"id","title","records","institute","oceanexpert_id","typeid","type"
"41de338d-6a8a-43f7-a351-ce5c61a7708e","Atlantic Anguilla surveys (1862-2007)",9082,"International Council for the Exploration of the Sea",10573,7,"International / Intergovernmental"
"41de338d-6a8a-43f7-a351-ce5c61a7708e","Atlantic Anguilla surveys (1862-2007)",9082,"International Council for the Exploration of the Sea (ICES)",NA,NA,NA
"41de338d-6a8a-43f7-a351-ce5c61a7708e","Atlantic Anguilla surveys (1862-2007)",9082,"Flanders Marine Institute (VLIZ)",NA,NA,NA
"de164752-b2a3-4857-b73b-04c00c0c801e","Antarctic Pack Ice Seals 1994-1999, plus historical data from the 1980's",8927,"Australian Antarctic Division",5028,3,"Government"
"de164752-b2a3-4857-b73b-04c00c0c801e","Antarctic Pack Ice Seals 1994-1999, plus historical data from the 1980's",8927,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"de164752-b2a3-4857-b73b-04c00c0c801e","Antarctic Pack Ice Seals 1994-1999, plus historical data from the 1980's",8927,"Australian Antarctic Division (AAD)",NA,NA,NA
"de164752-b2a3-4857-b73b-04c00c0c801e","Antarctic Pack Ice Seals 1994-1999, plus historical data from the 1980's",8927,"Australian Antarctic Division; Australian Antarctic Data Centre",NA,NA,NA
"fa9bc19f-f98a-4278-ab99-c6d8ef4966c7","Seamounts Online version 2005-1 - European data",8770,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"fa9bc19f-f98a-4278-ab99-c6d8ef4966c7","Seamounts Online version 2005-1 - European data",8770,"University of California, San Diego; Scripps Institution of Oceanography San Diego Supercomputer Center (UCSD-SIO)",NA,NA,NA
"eb5a052f-428e-4a6d-8058-3785c9356df7","Composition and distribution of the biomass of zooplankton in the central Arctic Basin 1975, 1976, 1977",8671,"University of Alaska Fairbanks - School of Fisheries and Oceans",12745,1,"Academic"
"eb5a052f-428e-4a6d-8058-3785c9356df7","Composition and distribution of the biomass of zooplankton in the central Arctic Basin 1975, 1976, 1977",8671,"University of Alaska Fairbanks; School of Fisheries and Ocean Sciences; Institute of Marine Science",NA,NA,NA
"36611427-0735-4b7a-ab45-16072397e038","Scottish Rockall Survey for commercial fish species",8570,"Vlaams Instituut voor de Zee",6223,3,"Government"
"36611427-0735-4b7a-ab45-16072397e038","Scottish Rockall Survey for commercial fish species",8570,"International Council for the Exploration of the Sea",10573,7,"International / Intergovernmental"
"36611427-0735-4b7a-ab45-16072397e038","Scottish Rockall Survey for commercial fish species",8570,"International Council for the Exploration of the Sea (ICES)",NA,NA,NA
"36611427-0735-4b7a-ab45-16072397e038","Scottish Rockall Survey for commercial fish species",8570,"Flanders Marine Institute (VLIZ)",NA,NA,NA
